[ 2017-12-04T10:36:51+08:00 ] 127.0.0.1 /index.php?s=/w0/Home/Apps/lists/from/3.html
NOTIC: [2] Cannot declare class Think\Action, because the name is already in use /webcode/wechat/bada/ThinkPHP/Library/Think/ManageBaseController.class.php 第 316 行.
NOTIC: [2] Declaration of Home\Controller\AppsController::lists() should be compatible with Think\ManageBaseController::lists($model = NULL, $page = 0) /webcode/wechat/bada/Application/Home/Controller/AppsController.class.php 第 17 行.
NOTIC: [2] Declaration of Home\Controller\AppsController::del() should be compatible with Think\ManageBaseController::del($model = NULL, $ids = NULL) /webcode/wechat/bada/Application/Home/Controller/AppsController.class.php 第 17 行.
NOTIC: [2] unlink(./Runtime/Temp/bada_4958e123f81776b413821f455c4e717f.php): No such file or directory /webcode/wechat/bada/ThinkPHP/Library/Think/Cache/Driver/File.class.php 第 157 行.
NOTIC: [2] Invalid argument supplied for foreach() /webcode/wechat/bada/Addons/Card/Model/CardCustomModel.class.php 第 20 行.
NOTIC: [2] Invalid argument supplied for foreach() /webcode/wechat/bada/Application/Common/Model/UserModel.class.php 第 241 行.
NOTIC: [2] Invalid argument supplied for foreach() /webcode/wechat/bada/Application/Common/Model/UserModel.class.php 第 249 行.
NOTIC: [8] Undefined index:  /webcode/wechat/bada/Application/Common/Model/UserModel.class.php 第 269 行.
NOTIC: [8] Undefined index:  /webcode/wechat/bada/Application/Common/Model/UserModel.class.php 第 270 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined offset: 14 /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 98 行.
NOTIC: [8] Undefined offset: 14 /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 109 行.
NOTIC: [8] Undefined offset: 60 /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 98 行.
NOTIC: [8] Undefined offset: 60 /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 109 行.
NOTIC: [8] Undefined index: HTTP_REFERER /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 132 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined offset: 14 /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 173 行.
NOTIC: [8] Undefined index: Home /webcode/wechat/bada/Application/Home/Model/AddonsModel.class.php 第 67 行.
NOTIC: [8] Constant ADDON_PUBLIC_PATH already defined /webcode/wechat/bada/Application/Home/Controller/AppsController.class.php 第 29 行.
NOTIC: [8] Undefined index: id /webcode/wechat/bada/ThinkPHP/Library/Think/Controller.class.php 第 821 行.
NOTIC: [8] Undefined index: count /webcode/wechat/bada/ThinkPHP/Library/Think/Controller.class.php 第 820 行.
NOTIC: [8] Undefined index: count /webcode/wechat/bada/ThinkPHP/Library/Think/Controller.class.php 第 821 行.
NOTIC: [8] Undefined index: ids /webcode/wechat/bada/ThinkPHP/Library/Think/Controller.class.php 第 820 行.
NOTIC: [8] Undefined index: ids /webcode/wechat/bada/ThinkPHP/Library/Think/Controller.class.php 第 821 行.
NOTIC: [8] Use of undefined constant website_logo - assumed 'website_logo' /webcode/wechat/bada/Runtime/Cache/Home/7005298462280b9dae877bcb9e3cd5f8.php 第 64 行.
NOTIC: [8] Undefined variable: myPublics /webcode/wechat/bada/Runtime/Cache/Home/7005298462280b9dae877bcb9e3cd5f8.php 第 73 行.
NOTIC: [8] Use of undefined constant headimgurl - assumed 'headimgurl' /webcode/wechat/bada/Runtime/Cache/Home/7005298462280b9dae877bcb9e3cd5f8.php 第 92 行.
NOTIC: [8] Undefined variable: output /webcode/wechat/bada/Application/Common/Common/function.php 第 1651 行.
NOTIC: [8] Use of undefined constant id - assumed 'id' /webcode/wechat/bada/Runtime/Cache/Home/7005298462280b9dae877bcb9e3cd5f8.php 第 164 行.
NOTIC: [8] Use of undefined constant id - assumed 'id' /webcode/wechat/bada/Runtime/Cache/Home/7005298462280b9dae877bcb9e3cd5f8.php 第 165 行.
NOTIC: [8] Use of undefined constant id - assumed 'id' /webcode/wechat/bada/Runtime/Cache/Home/7005298462280b9dae877bcb9e3cd5f8.php 第 167 行.
NOTIC: [8] Use of undefined constant id - assumed 'id' /webcode/wechat/bada/Runtime/Cache/Home/7005298462280b9dae877bcb9e3cd5f8.php 第 169 行.
NOTIC: [8] Use of undefined constant id - assumed 'id' /webcode/wechat/bada/Runtime/Cache/Home/7005298462280b9dae877bcb9e3cd5f8.php 第 170 行.
NOTIC: [8] Undefined variable: tongji_code /webcode/wechat/bada/Runtime/Cache/Home/7005298462280b9dae877bcb9e3cd5f8.php 第 270 行.

[ 2017-12-04T10:36:55+08:00 ] 127.0.0.1 /index.php?s=/w0/Home/User/logout.html
NOTIC: [2] Cannot declare class Think\Action, because the name is already in use /webcode/wechat/bada/ThinkPHP/Library/Think/ManageBaseController.class.php 第 316 行.
NOTIC: [2] unlink(./Runtime/Temp/bada_4958e123f81776b413821f455c4e717f.php): No such file or directory /webcode/wechat/bada/ThinkPHP/Library/Think/Cache/Driver/File.class.php 第 157 行.
NOTIC: [2] Invalid argument supplied for foreach() /webcode/wechat/bada/Addons/Card/Model/CardCustomModel.class.php 第 20 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined offset: 14 /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 98 行.
NOTIC: [8] Undefined offset: 14 /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 109 行.
NOTIC: [8] Undefined offset: 60 /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 98 行.
NOTIC: [8] Undefined offset: 60 /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 109 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined index: side /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 167 行.
NOTIC: [8] Undefined offset: 14 /webcode/wechat/bada/Application/Common/Model/MenuModel.class.php 第 173 行.
NOTIC: [8] Undefined index: Home /webcode/wechat/bada/Application/Home/Model/AddonsModel.class.php 第 67 行.
NOTIC: [2] unlink(./Runtime/Temp/bada_835f81550ecc84ee3084dab30c3bfe67.php): No such file or directory /webcode/wechat/bada/ThinkPHP/Library/Think/Cache/Driver/File.class.php 第 157 行.

[ 2017-12-04T10:36:56+08:00 ] 127.0.0.1 /index.php?s=/w0/Home/User/login.html
NOTIC: [2] Cannot declare class Think\Action, because the name is already in use /webcode/wechat/bada/ThinkPHP/Library/Think/ManageBaseController.class.php 第 316 行.
NOTIC: [2] unlink(./Runtime/Temp/bada_4958e123f81776b413821f455c4e717f.php): No such file or directory /webcode/wechat/bada/ThinkPHP/Library/Think/Cache/Driver/File.class.php 第 157 行.
NOTIC: [2] Invalid argument supplied for foreach() /webcode/wechat/bada/Addons/Card/Model/CardCustomModel.class.php 第 20 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
NOTIC: [8] Undefined variable: addons /webcode/wechat/bada/Application/Common/Common/function.php 第 501 行.
